Text,labels,Tokens_used
"walk aint lol,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""love"", ""great"", ""amazing"", ""impressed"", ""thrilled"", ""excited"", ""horrible"", ""bad"", ""disappointed"", ""terrible"", ""worse"", ""hate""]",612
"hyunjin exists fine fr,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""love""]",572
"hyunjin mental health,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""disappointed""]",552
"bro literally best hyunjin editor,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",553
"mexican frijol bro really wish,","Brand_labels: [""customer service""]
Emotion_labels: [""disappointed""]",554
"looks exactly like mother,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",550
"absolutely beautiful princess like mother,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",550
"first shoes pants theyre gon na making whole homeless outfit n people fr gon na wear,","Brand_labels: [""product quality""]
Emotion_labels: [""disappointed""]",562
"bruh find old onecut itthrow mud itscool,","Brand_labels: [""product quality""]
Emotion_labels: []",554
"someone got buried took put store,","Brand_labels: [""customer service""]
Emotion_labels: [""horrible""]",551
"make get baggy jeans thrift store make dirty cut bunch holes,","Brand_labels: [""product quality""]
Emotion_labels: [""disappointed""]",557
"thought cat woman caitlyn jenner,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",553
"catwoman,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",548
"north cute tho,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",547
"thought cat woman bruce,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",549
"pick flower,","Brand_labels: [""product quality""]
Emotion_labels: []",544
"catwoman excessive,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""horrible""]",550
"catwoman alexis stone,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",551
"youd think money shed attractive,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""disappointed""]",573
"wait hot minute girl doctor phil,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""excited""]",553
"isnt doctor phil girl cried bc said get job,","Brand_labels: [""customer service""]
Emotion_labels: [""disappointed""]",555
"mommy funded though,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",548
"waiting documentary,","Brand_labels: [""social impact""]
Emotion_labels: []",544
"hold girl doctor phil,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""love"", ""great"", ""amazing"", ""impressed"", ""thrilled"", ""excited"", ""horrible"", ""bad"", ""disappointed"", ""terrible"", ""worse"", ""hate""]",612
"saw video girl critisizing gigi media always goes twists story gigi handeled situation perfectly,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",566
"gigi security guard,","Brand_labels: [""customer service""]
Emotion_labels: []",546
"artemisff_69 tes trite brou,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""love"", ""great"", ""amazing"", ""impressed"", ""thrilled"", ""excited"", ""horrible"", ""bad"", ""disappointed"", ""terrible"", ""worse"", ""hate""]",619
"1hello cotto 2goteo 3givenchy 4she dont give fo 5malbec,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""love"", ""great"", ""amazing"", ""impressed"", ""thrilled"", ""excited"", ""horrible"", ""bad"", ""disappointed"", ""terrible"", ""worse"", ""hate""]",631
"1 goteo 2 givenchy 3 hello coto 4 malbec 5 dont give fo,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""disappointed""]",589
"3 givenchy 1 hello cotto 4 goteo 5 malbec 2 dont give fo,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: []",586
"1hello coto 2she dont give fo 3givenchy 4goteo 5malbec,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",567
"dayvon got ta deal boots later,","Brand_labels: [""customer service""]
Emotion_labels: [""neutral""]",551
"must chicago sound like ari,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",550
"always look nice put together,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",549
"wore brown side belt paired purse match cute either way,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",555
"bye love seeing body shapesize represented celebsu perfect,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",557
"thought baekhyun tiktok account lmao,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""amused""]",558
"dont shy upload content exo tiktok,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",552
"dude puts merry merry christmas,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""excited""]",553
"told ya challenge,","Brand_labels: [""customer service""]
Emotion_labels: []",546
"yeah ill skip trend huge fan logos plastered everywhere,","Brand_labels: [""product quality""]
Emotion_labels: [""disappointed""]",555
"hate loewe logo tank top bags w huge logos thought better,","Brand_labels: [""product quality"", ""reputation & heritage""]
Emotion_labels: [""hate""]",564
"matter wear whatever u want wear freedom wear thingwhether theres logo,","Brand_labels: [""social impact""]
Emotion_labels: []",554
"ur suposed look people wearing high end brands making,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",554
"quiet luxury class people reference new money conundrum solved youre welcome,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",557
"thats pushing marketing try catching someone wearing,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""disappointed""]",555
"yall want quiet luxury thing bad cant seem comprehend logo makes money,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""bad""]",559
"hot take u like character even dont support actions,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",555
"finally found valentino cosplay,","Brand_labels: [""product quality""]
Emotion_labels: [""excited""]",551
"people villain hell evil bad,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""bad""]",551
"would cosplay yall mad valentino slays huh,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",557
"valentino might bad character cosplay good,","Brand_labels: [""product quality""]
Emotion_labels: [""bad""]",552
"love valentino cosplayer love way vox standing,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",556
"okay thats accurate,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""love""]",569
"face wipe,","Brand_labels: [""product quality""]
Emotion_labels: []",544
"bro turned volume heard wasmjauu,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""love"", ""great"", ""amazing"", ""impressed"", ""thrilled"", ""excited"", ""horrible"", ""bad"", ""disappointed"", ""terrible"", ""worse"", ""hate""]",616
"thought going wholesome video vox x val guess,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",554
"vox idk expecting velvette id react exact,","Brand_labels: [""product quality""]
Emotion_labels: [""disappointed""]",554
"pajama day whole school wore flannel pants,","Brand_labels: [""product quality""]
Emotion_labels: [""excited""]",555
"wears black mask cause goes fits,","Brand_labels: [""product quality""]
Emotion_labels: [""excited""]",552
"tall u actually im curious,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""curious""]",553
"always knew converse right choice,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",551
"told everyone rick owens,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",551
"rick credited lord darkness fashion writers due use dark fabrics goth grunge aesthetics avantgarde design,","Brand_labels: [""product quality"", ""reputation & heritage""]
Emotion_labels: []",567
"dont think given name lord darkness based religious beliefs tho dystopian unconventional dark designs,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",559
"agree got ta protect soul,","Brand_labels: [""social impact""]
Emotion_labels: [""love""]",549
"weapon fashioned shall prosper ill take ricks,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",552
"little bit thinking would go far,","Brand_labels: [""customer service""]
Emotion_labels: [""disappointed""]",551
"atomizer isnt bad,","Brand_labels: [""product quality""]
Emotion_labels: [""bad""]",548
"lasts 3 days btw,","Brand_labels: [""product quality""]
Emotion_labels: [""disappointed""]",551
"cap really horrible atomizer pretty nice,","Brand_labels: [""product quality""]
Emotion_labels: [""horrible""]",552
"cap thing thats bad tbh,","Brand_labels: [""product quality""]
Emotion_labels: [""bad""]",550
"cap nice atmomizer nice smell actully smells pretty good,","Brand_labels: [""product quality""]
Emotion_labels: [""great""]",556
"everyone atomizer literally worst bottle xd,","Brand_labels: [""product quality""]
Emotion_labels: [""worst""]",552
"girl thats thats brazilian queen marina,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",552
"saw red hair automatically said sadie sink,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",553
"thats fadie fink,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",551
"thats brazilian actress marina ruy barbosa,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",556
"yall better respect goddess woman shes marina ruy barbosa,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",561
"thats sadie sink tho,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""disappointed""]",553
"thats sadie float,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""disappointed""]",552
"noticed jarvis peller wearing hand band,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",552
"else thought fitst girl acting shy jarvis,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",555
"nice acting,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",548
"hades seems like guy would show persephone like cat people show cats,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",558
"apollo watching shoulder 100 confirmed,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",550
"hades little glance persephone telling smile,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",554
"u look exactly like u ethereal,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",553
"captured essences perfectly,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",549
"hermes im dying,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",548
"hephaestus took photos,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""excited""]",553
"think stare beucause youre wearing ladys bag know birkin,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",557
"think stair guy handbag lol plus birkin,","Brand_labels: [""product quality""]
Emotion_labels: []",551
"maybe bc r walking slow motion someone following filming,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""love"", ""great"", ""amazing"", ""impressed"", ""thrilled"", ""excited"", ""horrible"", ""bad"", ""disappointed"", ""terrible"", ""worse"", ""hate""]",617
"youri literally way hitting people bag,","Brand_labels: [""customer service""]
Emotion_labels: [""horrible""]",552
"arent good stares,","Brand_labels: [""product quality""]
Emotion_labels: [""bad""]",547
"dont think bag rather whos holding bag,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",552
"deffo way hes carrying,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",550
"zeus sons return bring distruction olympus destroy everything touch iam greathes worrior,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""horrible""]",566
"paynehouck647 shes good,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",554
"kinda love said ashleys name first,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",554
"love adulthood kinda started trademark ashley name first shows lot love,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",558
"olsen sisters top especially girl lizzie taylor,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",554
"love whole style,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",547
"always stunning,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",548
"one word perfection,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",547
"wait p rocky asap rocky,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",550
"even hiding anymore,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""disappointed""]",550
"rihanna teaching ways,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",551
"one eye symbolism shame,","Brand_labels: [""ethical practices""]
Emotion_labels: [""disappointed""]",549
"lot talk jaden young man giving congrats restaurants feed homeless free hes uniquely,","Brand_labels: [""social impact""]
Emotion_labels: [""love""]",559
"rich want stay poor,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""disappointed""]",551
"bro brought house hand,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",548
"seems like nice kid pain beautiful eyes god bless,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",554
"daughter doll house blue,","Brand_labels: [""product quality"", ""customer service""]
Emotion_labels: [""love""]",552
"lv gucci rest making money yall dont see whats going,","Brand_labels: [""reputation & heritage"", ""ethical practices""]
Emotion_labels: [""disappointed""]",563
"real chat,","Brand_labels: [""customer service""]
Emotion_labels: [""neutral""]",546
"genuinely sounds wholesum,","Brand_labels: [""ethical practices""]
Emotion_labels: [""love""]",550
"bille needs make tik tok account,","Brand_labels: [""customer service""]
Emotion_labels: [""excited""]",552
"instantly know bullies shoes,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""hate""]",553
"yeah sound like billie,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",549
"thought gon na rip billie wannabe,","Brand_labels: [""product quality""]
Emotion_labels: [""disappointed""]",553
"sounds like completely different person,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""disappointed""]",552
"know show phenomenal see anna wintour smiling clapping,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",558
"last good chanel collection,","Brand_labels: [""product quality"", ""reputation & heritage""]
Emotion_labels: [""good""]",555
"chanel karl much better new creative designer one really even knows,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""worse""]",560
"death death channel,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""horrible""]",550
"chanel without karl,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",549
"already know chanel rocket probably cause 1000000,","Brand_labels: [""product quality""]
Emotion_labels: []",553
"thats real fashion designer,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",549
"thought thats lana del rey,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",553
"scotts exs literally getting married funny,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""amused""]",555
"scott prepares women meet soulmates,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",553
"everyone dated scott meets man dreams gets married like movie good luck chuck go date scott single ladies,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",566
"lionel let sigh relief public displeasure scott disick relationship,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""disappointed""]",560
"feel like scott good luck chuck affect every girl dates ends marrying another guy,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""bad""]",561
"everybody scott dated found prince charming,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",554
"bro pls wrong,","Brand_labels: [""customer service""]
Emotion_labels: [""disappointed""]",548
"wouldve taken 30k cash,","Brand_labels: [""customer service""]
Emotion_labels: [""disappointed""]",552
"everyone confused,","Brand_labels: [""customer service""]
Emotion_labels: [""disappointed""]",547
"fr thought michelle obama,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",550
"god see youre others,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",548
"lord ive seen youve done others thats bag dreams happy,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",557
"chris rock long hair,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",549
"brother lol,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""love""]",569
"tell rich without telling rich,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",549
"saw exact dress thrift one time 10 regret buying every single day yes,","Brand_labels: [""product quality""]
Emotion_labels: [""regret""]",560
"everything,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: []",565
"absolutely worth,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",547
"4 wedding dresses nowhere near size also single 5 euros,","Brand_labels: [""product quality"", ""customer service""]
Emotion_labels: [""disappointed""]",560
"hear 500 dont touch itits thursday,","Brand_labels: [""customer service""]
Emotion_labels: [""horrible""]",554
"couldnt expect anything less gabi,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",553
"givenchy shark boots cant stop thinking,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",551
"especially birkin,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",547
"leclerc shirt im love,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",550
"jim carrey absolutely quaking grinch poots rn,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",559
"got tshirt etsy searched vintage ferrari shirt lol,","Brand_labels: [""product quality""]
Emotion_labels: []",553
"leclerc shirt im love,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",550
"charles leclerc shirt,","Brand_labels: [""product quality""]
Emotion_labels: []",548
"love cl16 shirt actual outfit,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",550
"exact shirt,","Brand_labels: [""product quality""]
Emotion_labels: []",544
"find world peace hoodie,","Brand_labels: [""product quality""]
Emotion_labels: []",546
"havent seen soul world peace hoodie,","Brand_labels: [""product quality""]
Emotion_labels: []",550
"yall sleeping chrome hearts rosary,","Brand_labels: [""product quality""]
Emotion_labels: []",549
"tenth series,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",547
"seriously whats rosary hoodie imma need,","Brand_labels: [""product quality""]
Emotion_labels: [""need""]",553
"tops,","Brand_labels: [""product quality""]
Emotion_labels: []",544
"thought rihanna ceo fendi,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",551
"ponytail holder wrist,","Brand_labels: [""product quality""]
Emotion_labels: []",547
"youre telling ceo fendi open mouth chews gum photographed public event,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""disappointed""]",562
"people bill gates mark zuckerberg rhianna fendi ceo actors actresses business moguls prewedding,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",566
"fendi owned serge brunschwig tho,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",552
"whyyyyy chewing gum class elegance ever since loriharvey said doesnt fendi checked,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",561
"single im ready marriage,","Brand_labels: [""customer service""]
Emotion_labels: [""excited""]",549
"thought rihanna ceo fendi,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",551
"okay good fits gram igwisdm,","Brand_labels: [""product quality""]
Emotion_labels: [""great""]",551
"knew gon na b fire b4 even watched,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""excited""]",557
"fendi one tho,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",548
"cant stress enough look like dr burk greys anatomy,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",555
"cool watch someone clearly knows theyre talking even interest,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",554
"asthma,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""disappointed""]",569
"wouldnt say fresh new definitely damn good improvement,","Brand_labels: [""product quality""]
Emotion_labels: [""good""]",553
"whats difference model 2007 get,","Brand_labels: [""product quality""]
Emotion_labels: []",550
"2003 18 19 years ago,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",552
"2003 18 years ago,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",550
"u shake ur shoe sounds like crumbly shaking sounds thing,","Brand_labels: [""product quality""]
Emotion_labels: [""bad""]",556
"stitched soles hardest sole swaps right patience pretty crazy lol,","Brand_labels: [""product quality""]
Emotion_labels: []",554
"ostrich leather crocodile learher,","Brand_labels: [""product quality""]
Emotion_labels: []",550
"girl colors choose grey white,","Brand_labels: [""product quality""]
Emotion_labels: []",547
"year ill totally forget lol,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""disappointed""]",552
"yearr,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""excited""]",549
