Text,labels,Tokens_used
"someone literally said christine quinn came,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""excited""]",555
"ugh want bag bad could scare people,","Brand_labels: [""product quality""]
Emotion_labels: [""bad""]",551
"cpg glam goddess even type bag lusaka theyll search,","Brand_labels: [""customer service""]
Emotion_labels: []",555
"eating,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""love"", ""great"", ""amazing"", ""impressed"", ""thrilled"", ""excited"", ""horrible"", ""bad"", ""disappointed"", ""terrible"", ""worse"", ""hate""]",609
"himnotric_,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""neutral""]",549
"madisen elliepolk need use sound batman shiestys,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""excited""]",581
"anthormy yeomas legs small,","Brand_labels: [""product quality""]
Emotion_labels: [""disappointed""]",552
"ava2k00l thats something,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""excited""]",554
"bluetooth device ready pair,","Brand_labels: [""customer service""]
Emotion_labels: [""excited""]",550
"real chat,","Brand_labels: [""customer service""]
Emotion_labels: []",544
"quality good laugh,","Brand_labels: [""product quality""]
Emotion_labels: []",545
"balenciaga shoes wildin,","Brand_labels: [""product quality""]
Emotion_labels: []",548
"buy buy buy years blow people start buying guarantee,","Brand_labels: [""customer service""]
Emotion_labels: [""excited""]",554
"id embarrassed wear balenciaga anyway,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""embarrassed""]",555
"balenciaga always looked cheap imo,","Brand_labels: [""product quality""]
Emotion_labels: [""bad""]",552
"proves everything expensive looks expensivedesirable bc give power,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",557
"consumers realized power hold,","Brand_labels: [""customer service""]
Emotion_labels: [""excited""]",550
"look designer bags look cheap u stack together,","Brand_labels: [""product quality""]
Emotion_labels: [""bad""]",552
"costs exactly looks,","Brand_labels: [""product quality""]
Emotion_labels: []",546
"really beautiful,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",546
"video really nice,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",547
"really beautiful,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",546
"please gourdney kardashian,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",551
"look exactly like,","Brand_labels: [""product quality""]
Emotion_labels: []",545
"literally 5am,","Brand_labels: [""customer service""]
Emotion_labels: [""disappointed""]",550
"pumpkim personality real kim,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",552
"one notices face crack door,","Brand_labels: [""product quality""]
Emotion_labels: [""disappointed""]",550
"glue lashes onto,","Brand_labels: [""product quality""]
Emotion_labels: []",546
"115lbs 54 definitely look much healthier im 130lbs trying trim belly fat way losing 15lbs,","Brand_labels: [""product quality""]
Emotion_labels: [""disappointed""]",566
"wait another prediction episode inspired balenciaga,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",552
"prob tried copy simpsons,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""disappointed""]",552
"yall simpsons episode came runway thing reference prediction,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",554
"guys simpson runway u couldnt tell,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",553
"help predict everything,","Brand_labels: [""customer service""]
Emotion_labels: [""excited""]",548
"probably copied simpsons,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",548
"pls type videos like oceans dont really understand language interested type vid,","Brand_labels: [""sustainability""]
Emotion_labels: []",554
"lu siren apa mermed cantknowthispeople,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""confusion""]",557
"music mee,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""love"", ""great"", ""amazing"", ""impressed"", ""thrilled"", ""excited""]",587
"title,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",545
"please translate please,","Brand_labels: [""customer service""]
Emotion_labels: [""disappointed""]",548
"2 pic show,","Brand_labels: [""product quality""]
Emotion_labels: []",545
"siren sounds cool dunno,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",550
"congrats found english comment,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""excited""]",553
"anyone actually wear dont understand fashion,","Brand_labels: [""product quality""]
Emotion_labels: [""disappointed""]",552
"really said copypaste,","Brand_labels: [""customer service""]
Emotion_labels: [""disappointed""]",550
"simpons always true ugh covid,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""disappointed""]",554
"looks done episode made arnt predicting future,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""disappointed""]",575
"kind acid trips fashion designers think outfits good,","Brand_labels: [""product quality""]
Emotion_labels: [""bad""]",552
"rock anything,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",546
"model wore better tho lol,","Brand_labels: [""product quality""]
Emotion_labels: []",547
"idk top little high,","Brand_labels: [""product quality""]
Emotion_labels: []",547
"whos zendaya,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",548
"spill author,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",547
"thought mermaid real,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",548
"author,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",545
"shes gorgeous,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",549
"yasmeen naomi runway together magical,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",554
"yasmeen naomi r literally cute,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",554
"omg exactly sync wth,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""excited""]",573
"feel like masterful control walks naturally,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",553
"love shes beautiful,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",550
"awww princesa shes gorgeous,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",551
"shes mommas twin,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",551
"goldenqoocxies next chapter gf theoryyy,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""excited""]",557
"author ny sp,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",547
"author,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",545
"ethernaly_,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",547
"wrongname_,","Brand_labels: [""customer service""]
Emotion_labels: [""disappointed""]",547
"author sp,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""neutral""]",548
"read name,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",546
"bbyxxcuteness,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",549
"need adult series bratz since grown,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",551
"voices compliment eachother well idk,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",551
"shop closet,","Brand_labels: [""product quality""]
Emotion_labels: []",544
"whew,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""disappointed""]",569
"bruh love right yall matching oml,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",555
"dont listen watch kpop much anymore think im obsessed hyunjin,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""obsessed""]",560
"hyunjin edits heal world,","Brand_labels: [""social impact""]
Emotion_labels: [""love""]",550
"dont wan na talk many times watched,","Brand_labels: [""customer service""]
Emotion_labels: [""disappointed""]",552
"90s supermodels always remain top,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",551
"90s best one change mind,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",550
"girl wouldnt play donna,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""disappointed""]",552
"dynamic duo never knew needed,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",551
"remind shoes barbie fairy secret,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",551
"keep fairy secret secret,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",548
"winx club,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""excited""]",550
"cries broke,","Brand_labels: [""product quality""]
Emotion_labels: [""disappointed""]",548
"reminds royal high,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",548
"cries wide feet,","Brand_labels: [""product quality""]
Emotion_labels: [""disappointed""]",549
"waht royale high,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""love"", ""great"", ""amazing"", ""impressed"", ""thrilled"", ""excited"", ""horrible"", ""bad"", ""disappointed"", ""terrible"", ""worse"", ""hate""]",613
"somebody recommend perfume someone smell pass buy hugging,","Brand_labels: [""product quality""]
Emotion_labels: []",552
"want miss dior perfume bad omg,","Brand_labels: [""product quality""]
Emotion_labels: [""bad""]",552
"fire place sweetttt,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",549
"hey girls u think abt versace bright crystal wan na buy mom,","Brand_labels: [""product quality""]
Emotion_labels: [""excited""]",559
"anyone like black opium ysl bf bought xmas costs 126,","Brand_labels: [""product quality"", ""reputation & heritage""]
Emotion_labels: [""love""]",565
"crystal noir versace god sent literally bombest,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",554
"1st slide literally majority perfume collection,","Brand_labels: [""product quality""]
Emotion_labels: []",549
"well balenciaga cancelled dont walk,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""disappointed""]",554
"ppl sitting getting free runway tutorial,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",551
"want become like scream pure confidence,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""excited""]",553
"want ur confidence,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",549
"scream fyp kittygirls,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""excited""]",553
"love girls amazed walk,","Brand_labels: [""product quality""]
Emotion_labels: [""love"", ""amazed""]",552
"guy talent someone give scholarshop fashion design school,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",556
"creative,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",547
"first look gave gucci bamboo vibes,","Brand_labels: [""product quality""]
Emotion_labels: []",549
"imagination best walk,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",550
"gucci versace think see,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",550
"walk aggressive love,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",549
"improved since incredible,","Brand_labels: [""product quality""]
Emotion_labels: [""amazing""]",549
"walked stairs effortlessly would fall,","Brand_labels: [""product quality""]
Emotion_labels: [""horrible""]",551
"love way exend name,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",551
"think whos better dress confident,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",552
"stop comparing gorgeous,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",549
"selena iconic bye,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",550
"lol shes anok yai,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",551
"thats even anokyai lmaooo,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""amused""]",556
"feel like looked better anok coz melanin make colour pop selena course looks beautiful dress isnt hermaybe,","Brand_labels: [""product quality""]
Emotion_labels: []",563
"congrats honeyyyyyy,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""excited""]",553
"doubted second wow,","Brand_labels: [""product quality""]
Emotion_labels: [""amazed""]",549
"im going visit grandmother,","Brand_labels: [""customer service""]
Emotion_labels: [""love""]",548
"actually good,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",546
"perfection,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",546
"literallllyyyyy thought cut real gucci ad comparison purposes,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",557
"hold going second girl,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""excited""]",551
"gucci look furtheryour next top model,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",552
"perfect cant stop rewatching since last night,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",553
"beauty beast,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",549
"yall love speak donatella degrade looks shes probably beautiful anyone,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",560
"walk perfection,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",546
"looks good selena think dress tight,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",551
"selena looks uncomfortable love colour though,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",551
"model looks majestic im obsessed looks cloths color,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",553
"different body types people hating,","Brand_labels: [""social impact""]
Emotion_labels: [""hate""]",551
"model lot taller whereas selena smaller completely different body types dont compare,","Brand_labels: [""product quality""]
Emotion_labels: []",555
"sad cant even tell real instead laughing dont know video,","Brand_labels: [""product quality""]
Emotion_labels: [""disappointed""]",555
"myiesha beuh swear saw exact thing cambodia,","Brand_labels: [""product quality""]
Emotion_labels: []",553
"yourkk im help gccui,","Brand_labels: [""customer service""]
Emotion_labels: [""disappointed""]",551
"nihal16_ bingbong_thecrapisgone abiii searched cambodia videos actually making excited,","Brand_labels: [""customer service""]
Emotion_labels: [""excited""]",567
"like choice chocolate fave,","Brand_labels: [""product quality""]
Emotion_labels: []",547
"fruit wrapper ingenious,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",547
"wow creative,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",548
"basically authentic gucci bag,","Brand_labels: [""product quality"", ""reputation & heritage""]
Emotion_labels: []",554
"get creative beautiful bag looks,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",549
"see im talented,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",549
"get bag made louis vuitton paper bag received bought scarf,","Brand_labels: [""product quality"", ""customer service""]
Emotion_labels: [""disappointed""]",561
"recommendation put plastic gucci paper putting leather,","Brand_labels: [""product quality"", ""sustainability""]
Emotion_labels: []",555
"tall first floor,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""love"", ""great"", ""amazing"", ""impressed"", ""thrilled"", ""excited"", ""horrible"", ""bad"", ""disappointed"", ""terrible"", ""worse"", ""hate""]",612
"blud think hes reacher,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",550
"know height whole personality tho,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",549
"made realize tall shaq really,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""amazed""]",553
"high tower police academy,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",550
"main character baki,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",548
"nah hes enough tall,","Brand_labels: [""product quality""]
Emotion_labels: [""disappointed""]",549
"please,","Brand_labels: [""customer service""]
Emotion_labels: []",543
"whats languages,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",547
"need big strong man well set women back hundred years,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""disappointed""]",557
"need big strong man exactly teachers elementary school said needed help moving something,","Brand_labels: [""customer service""]
Emotion_labels: [""neutral""]",557
"dont choose boot boot chooses,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",549
"would bought ten things embarrassment,","Brand_labels: [""customer service""]
Emotion_labels: [""disappointed""]",550
"trying shoes dont plan buy designer storeyeah workers forsure hate,","Brand_labels: [""customer service""]
Emotion_labels: [""hate""]",557
"happened cut shoe offff,","Brand_labels: [""product quality""]
Emotion_labels: [""bad""]",551
"im expert used take dads mexican boots feet time,","Brand_labels: [""product quality""]
Emotion_labels: []",552
"luciferdead wow,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""horrible""]",572
"real things win trend,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",548
"khloe dior saddle bags cute,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",551
"literally love ur vids sm,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",552
"aslimm_soundss_,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""love"", ""great"", ""amazing"", ""impressed"", ""thrilled"", ""excited"", ""horrible"", ""bad"", ""disappointed"", ""terrible"", ""worse"", ""hate""]",613
"fire,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""excited""]",568
"clean bruh,","Brand_labels: [""product quality""]
Emotion_labels: []",545
"reason go hard,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""excited""]",550
"amount times come back video,","Brand_labels: [""customer service""]
Emotion_labels: [""love""]",549
"come back video every awhile,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",549
"bro get back dance tiktok please,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",551
"pants everything,","Brand_labels: [""product quality""]
Emotion_labels: []",544
"literally love style,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",548
"outfit looks classy,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",548
"instagram priscyescoto,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",552
"man love thanks wonderful playing,","Brand_labels: [""customer service""]
Emotion_labels: [""love""]",549
"matter gallagher need win carabao cup chelsea fc home dont leave,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",561
"follow,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",545
"chelsea,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",546
"happy see crush iamaafan icrushyou meshy,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""excited""]",559
"everything haul chefs kiss,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",548
"lol hes like okay ill change card,","Brand_labels: [""customer service""]
Emotion_labels: []",549
"faces makes,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",548
"got real quick like need change card,","Brand_labels: [""customer service""]
Emotion_labels: []",549
"fact yall got 7000 spend bag,","Brand_labels: [""product quality""]
Emotion_labels: []",551
"needles pants go crazy,","Brand_labels: [""product quality""]
Emotion_labels: [""excited""]",550
"lol thats even bottega box,","Brand_labels: [""product quality""]
Emotion_labels: []",548
"bummys3cr3tts,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""love"", ""great"", ""amazing"", ""impressed"", ""thrilled"", ""excited"", ""horrible"", ""bad"", ""disappointed"", ""terrible"", ""worse"", ""hate""]",615
"family guy im peter pourin 4 2 liter,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""love"", ""great"", ""amazing"", ""impressed"", ""thrilled"", ""excited"", ""horrible"", ""bad"", ""disappointed"", ""terrible"", ""worse"", ""hate""]",619
"hahahhaa best thing ive seen today love,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",557
"howlerfrom ur bank account,","Brand_labels: [""customer service""]
Emotion_labels: [""horrible""]",551
"ive finally made hp tik tok couldnt happier,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""excited""]",556
"called chanel origami bags like call poussey pouches,","Brand_labels: [""product quality""]
Emotion_labels: []",555
"feel like rich peoples parents would sending hogwarts,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",553
"hated ever since saffron barker,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""hate""]",556
"look like something mum puts wash tablets wash,","Brand_labels: [""product quality""]
Emotion_labels: [""disappointed""]",553
"feel like box looks slightly cheap compared good quality shoes,","Brand_labels: [""product quality""]
Emotion_labels: [""disappointed""]",555
"look much better cant tell much want,","Brand_labels: [""product quality""]
Emotion_labels: []",549
"brought prada bag selfridges yesterday find kind lleather forgot ask,","Brand_labels: [""product quality"", ""customer service""]
Emotion_labels: []",561
"knows pick right men tho,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",550
"hes fine,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""neutral""]",548
"bby cant even get something dollar tree,","Brand_labels: [""customer service""]
Emotion_labels: [""disappointed""]",553
"wasnt expecting color change,","Brand_labels: [""product quality""]
Emotion_labels: [""disappointed""]",550
"omfg didnt trust process surprised fr,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""surprised""]",555
"wait please tell wrote color brand,","Brand_labels: [""customer service""]
Emotion_labels: []",548
"thought like holding bug something,","Brand_labels: [""product quality""]
Emotion_labels: [""horrible""]",550
"polish called,","Brand_labels: [""product quality""]
Emotion_labels: []",545
"opened comments red,","Brand_labels: [""product quality"", ""customer service"", ""reputation & heritage"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""disappointed""]",570
"person actually cared abt women empowerment fashion industry cry,","Brand_labels: [""social impact""]
Emotion_labels: [""disappointed""]",555
"genius pure art would spend hours watching shows one best designers ever lived,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",560
"romans 116for im ashamed gospel god power god salvation everyone believes,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",560
"live rockwhat miss,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""disappointed""]",551
"im dashes think nice boys get pregnant,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",551
"show name scream queens 2015,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""excited""]",554
"name chanel oberlin,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",549
"whats called burkey222,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",550
"loved chanel 2 much sad dieeed,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love"", ""sad""]",559
"sound dead,","Brand_labels: [""product quality""]
Emotion_labels: [""disappointed""]",547
"isabelle liv elena love scream queen remember watching first came,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",558
"imma get done know thats right unc,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""excited""]",575
"act young love,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",549
"nothing,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""love"", ""great"", ""amazing"", ""impressed"", ""thrilled"", ""excited"", ""horrible"", ""bad"", ""disappointed"", ""terrible"", ""worse"", ""hate""]",609
"boo finna 50 years,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",550
"cool must try,","Brand_labels: [""product quality""]
Emotion_labels: [""excited""]",548
"thats fye,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",548
"girl need paying awesome level content creation,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",553
"meanwhile brands overpaying companies models send much get similar results smh,","Brand_labels: [""customer service""]
Emotion_labels: [""disappointed""]",560
"im honestly speechless,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""amazed""]",571
"girl youre awesome,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",549
"wantttttt available shein,","Brand_labels: [""product quality""]
Emotion_labels: []",549
"omg whos lash tech,","Brand_labels: [""customer service""]
Emotion_labels: [""excited""]",551
"longer lashes,","Brand_labels: [""product quality""]
Emotion_labels: []",545
"instructions unclear doctors removing bottles stomach right,","Brand_labels: [""customer service""]
Emotion_labels: [""disappointed""]",552
"fact tried walk,","Brand_labels: [""product quality""]
Emotion_labels: [""disappointed""]",548
"aloe vera actually tends clean things,","Brand_labels: [""product quality""]
Emotion_labels: []",549
"talkin bout political economic state world right,","Brand_labels: [""social impact""]
Emotion_labels: []",550
"reminds much jeremiah fisher idk,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",553
