Text,brand_label,emotion_label
"rick owens 100 demon,",['reputation & heritage'],['love']
"rlly dancing two pvc pipes banging together,",['product quality'],['horrible']
"around high would make spiral,","['product quality', 'reputation & heritage', 'customer service', 'social impact', 'ethical practices', 'sustainability']","['love', 'great', 'amazing', 'impressed', 'thrilled', 'excited', 'horrible', 'bad', 'disappointed', 'terrible', 'worse', 'hate']"
"thinks hes rick owens,",['reputation & heritage'],['hate']
"everyones def somethin,",['reputation & heritage'],['neutral']
"hes enjoying life,",['reputation & heritage'],['love']
"im focused evan petersjeff dahmer look alike wouldve tripped ngl,",['reputation & heritage'],['excited']
"dancing considered mad man dont wan na know dance,",['reputation & heritage'],['disappointed']
"mad man happy composed ppl judge much,",['reputation & heritage'],['love']
"watch become boy chanel,",['reputation & heritage'],['neutral']
"longest time thought gabriette person,",['reputation & heritage'],['hate']
"thought kim k realized rinna,",['reputation & heritage'],['neutral']
"wish enough money turn gabriette,",['reputation & heritage'],['love']
"really dont think gabriette look alike,",['reputation & heritage'],['disappointed']
"idk really call nepo baby hate much bc lisa rena isnt really well liked person talented daughter,",['reputation & heritage'],['hate']
"boy uee name,",['reputation & heritage'],['excited']
"cest chic,",['reputation & heritage'],['love']
"love answer,","['product quality', 'reputation & heritage', 'customer service', 'social impact', 'ethical practices', 'sustainability']",['love']
"wise words young age love olson sisters,",['reputation & heritage'],['love']
"honestly best advice,",['customer service'],['love']
"thats great answershe chose nice instead putting one thing love always thought pretty,",['product quality'],"['love', 'great']"
"genuinely nice thing say especially since shes fashion icon,",['reputation & heritage'],['love']
"thats beautiful advice,",['product quality'],['love']
"olsen twins raised truly deserve everything good world,",['reputation & heritage'],['love']
"shes sweetheart love olsen twins,",['reputation & heritage'],['love']
"yall making fun walk bout shes walking versace sum yall cant afford,",['reputation & heritage'],['love']
"ones talking walk cant even half period,",['customer service'],['disappointed']
"bella high fashion gigi sports wear,","['product quality', 'reputation & heritage']",['love']
"yall know models walk,",['reputation & heritage'],['love']
"hated hair black hair suits sooooo much better,",['product quality'],['hate']
"walk aint lol,","['product quality', 'reputation & heritage', 'customer service', 'social impact', 'ethical practices', 'sustainability']","['love', 'great', 'amazing', 'impressed', 'thrilled', 'excited', 'horrible', 'bad', 'disappointed', 'terrible', 'worse', 'hate']"
"hyunjin exists fine fr,","['product quality', 'reputation & heritage', 'customer service', 'social impact', 'ethical practices', 'sustainability']",['love']
"hyunjin mental health,",['reputation & heritage'],['disappointed']
"bro literally best hyunjin editor,",['reputation & heritage'],['love']
"mexican frijol bro really wish,",['customer service'],['disappointed']
"looks exactly like mother,",['reputation & heritage'],['love']
"absolutely beautiful princess like mother,",['product quality'],['love']
"first shoes pants theyre gon na making whole homeless outfit n people fr gon na wear,",['product quality'],['disappointed']
"bruh find old onecut itthrow mud itscool,",['product quality'],['disappointed']
"someone got buried took put store,",['customer service'],['horrible']
"make get baggy jeans thrift store make dirty cut bunch holes,",['product quality'],['disappointed']
"thought cat woman caitlyn jenner,",['reputation & heritage'],['neutral']
"catwoman,",['reputation & heritage'],['love']
"north cute tho,",['product quality'],['love']
"thought cat woman bruce,",['reputation & heritage'],['neutral']
"pick flower,",['product quality'],['neutral']
"catwoman excessive,",['reputation & heritage'],['horrible']
"catwoman alexis stone,",['reputation & heritage'],['love']
"youd think money shed attractive,","['product quality', 'reputation & heritage', 'customer service', 'social impact', 'ethical practices', 'sustainability']",['disappointed']
"wait hot minute girl doctor phil,",['reputation & heritage'],['excited']
"isnt doctor phil girl cried bc said get job,",['customer service'],['disappointed']
"mommy funded though,",['reputation & heritage'],['hate']
"waiting documentary,",['social impact'],['excited']
"hold girl doctor phil,","['product quality', 'reputation & heritage', 'customer service', 'social impact', 'ethical practices', 'sustainability']","['love', 'great', 'amazing', 'impressed', 'thrilled', 'excited', 'horrible', 'bad', 'disappointed', 'terrible', 'worse', 'hate']"
"saw video girl critisizing gigi media always goes twists story gigi handeled situation perfectly,",['reputation & heritage'],['love']
"gigi security guard,",['customer service'],['neutral']
"artemisff_69 tes trite brou,","['product quality', 'reputation & heritage', 'customer service', 'social impact', 'ethical practices', 'sustainability']","['love', 'great', 'amazing', 'impressed', 'thrilled', 'excited', 'horrible', 'bad', 'disappointed', 'terrible', 'worse', 'hate']"
"1hello cotto 2goteo 3givenchy 4she dont give fo 5malbec,","['product quality', 'reputation & heritage', 'customer service', 'social impact', 'ethical practices', 'sustainability']","['love', 'great', 'amazing', 'impressed', 'thrilled', 'excited', 'horrible', 'bad', 'disappointed', 'terrible', 'worse', 'hate']"
"1 goteo 2 givenchy 3 hello coto 4 malbec 5 dont give fo,","['product quality', 'reputation & heritage', 'customer service', 'social impact', 'ethical practices', 'sustainability']",['disappointed']
"3 givenchy 1 hello cotto 4 goteo 5 malbec 2 dont give fo,","['product quality', 'reputation & heritage', 'customer service', 'social impact', 'ethical practices', 'sustainability']",['neutral']
"1hello coto 2she dont give fo 3givenchy 4goteo 5malbec,",['reputation & heritage'],['neutral']
"dayvon got ta deal boots later,",['customer service'],['neutral']
"must chicago sound like ari,",['reputation & heritage'],['neutral']
"always look nice put together,",['product quality'],['love']
"wore brown side belt paired purse match cute either way,",['product quality'],['love']
"bye love seeing body shapesize represented celebsu perfect,",['reputation & heritage'],['love']
"thought baekhyun tiktok account lmao,",['reputation & heritage'],['amused']
"dont shy upload content exo tiktok,",['reputation & heritage'],['neutral']
"dude puts merry merry christmas,",['reputation & heritage'],['excited']
"told ya challenge,",['customer service'],['amused']
"yeah ill skip trend huge fan logos plastered everywhere,",['product quality'],['disappointed']
"hate loewe logo tank top bags w huge logos thought better,","['product quality', 'reputation & heritage']",['hate']
"matter wear whatever u want wear freedom wear thingwhether theres logo,",['social impact'],['love']
"ur suposed look people wearing high end brands making,",['reputation & heritage'],['disappointed']
"quiet luxury class people reference new money conundrum solved youre welcome,",['reputation & heritage'],['hate']
"thats pushing marketing try catching someone wearing,",['reputation & heritage'],['disappointed']
"yall want quiet luxury thing bad cant seem comprehend logo makes money,",['reputation & heritage'],['bad']
"hot take u like character even dont support actions,",['reputation & heritage'],['love']
"finally found valentino cosplay,",['product quality'],['excited']
"people villain hell evil bad,",['reputation & heritage'],['bad']
"would cosplay yall mad valentino slays huh,",['reputation & heritage'],['love']
"valentino might bad character cosplay good,",['product quality'],['bad']
"love valentino cosplayer love way vox standing,",['reputation & heritage'],['love']
"okay thats accurate,","['product quality', 'reputation & heritage', 'customer service', 'social impact', 'ethical practices', 'sustainability']",['love']
"face wipe,",['product quality'],['neutral']
"bro turned volume heard wasmjauu,","['product quality', 'reputation & heritage', 'customer service', 'social impact', 'ethical practices', 'sustainability']","['love', 'great', 'amazing', 'impressed', 'thrilled', 'excited', 'horrible', 'bad', 'disappointed', 'terrible', 'worse', 'hate']"
"thought going wholesome video vox x val guess,",['reputation & heritage'],['love']
"vox idk expecting velvette id react exact,",['product quality'],['disappointed']
"pajama day whole school wore flannel pants,",['product quality'],['excited']
"wears black mask cause goes fits,",['product quality'],['excited']
"tall u actually im curious,",['reputation & heritage'],['curious']
"always knew converse right choice,",['reputation & heritage'],['love']
"told everyone rick owens,",['reputation & heritage'],['love']
"rick credited lord darkness fashion writers due use dark fabrics goth grunge aesthetics avantgarde design,","['product quality', 'reputation & heritage']",['excited']
"dont think given name lord darkness based religious beliefs tho dystopian unconventional dark designs,",['reputation & heritage'],['excited']
"agree got ta protect soul,",['social impact'],['love']
"weapon fashioned shall prosper ill take ricks,",['product quality'],['love']
"little bit thinking would go far,",['customer service'],['disappointed']
"atomizer isnt bad,",['product quality'],['bad']
"lasts 3 days btw,",['product quality'],['disappointed']
"cap really horrible atomizer pretty nice,",['product quality'],['horrible']
"cap thing thats bad tbh,",['product quality'],['bad']
"cap nice atmomizer nice smell actully smells pretty good,",['product quality'],['great']
"everyone atomizer literally worst bottle xd,",['product quality'],['worst']
"girl thats thats brazilian queen marina,",['reputation & heritage'],['love']
"saw red hair automatically said sadie sink,",['reputation & heritage'],['love']
"thats fadie fink,",['reputation & heritage'],['love']
"thats brazilian actress marina ruy barbosa,",['reputation & heritage'],['love']
"yall better respect goddess woman shes marina ruy barbosa,",['reputation & heritage'],['love']
"thats sadie sink tho,",['reputation & heritage'],['disappointed']
"thats sadie float,",['reputation & heritage'],['disappointed']
"noticed jarvis peller wearing hand band,",['reputation & heritage'],['neutral']
"else thought fitst girl acting shy jarvis,",['reputation & heritage'],['love']
"nice acting,",['reputation & heritage'],['love']
"hades seems like guy would show persephone like cat people show cats,",['reputation & heritage'],['neutral']
"apollo watching shoulder 100 confirmed,",['product quality'],['love']
"hades little glance persephone telling smile,",['reputation & heritage'],['love']
"u look exactly like u ethereal,",['reputation & heritage'],['love']
"captured essences perfectly,",['product quality'],['love']
"hermes im dying,",['reputation & heritage'],['excited']
"hephaestus took photos,",['reputation & heritage'],['excited']
"think stare beucause youre wearing ladys bag know birkin,",['reputation & heritage'],['neutral']
"think stair guy handbag lol plus birkin,",['product quality'],['neutral']
"maybe bc r walking slow motion someone following filming,","['product quality', 'reputation & heritage', 'customer service', 'social impact', 'ethical practices', 'sustainability']","['love', 'great', 'amazing', 'impressed', 'thrilled', 'excited', 'horrible', 'bad', 'disappointed', 'terrible', 'worse', 'hate']"
"youri literally way hitting people bag,",['customer service'],['horrible']
"arent good stares,",['product quality'],['bad']
"dont think bag rather whos holding bag,",['reputation & heritage'],['neutral']
"deffo way hes carrying,",['product quality'],['love']
"zeus sons return bring distruction olympus destroy everything touch iam greathes worrior,",['reputation & heritage'],['horrible']
"paynehouck647 shes good,",['reputation & heritage'],['love']
"kinda love said ashleys name first,",['reputation & heritage'],['love']
"love adulthood kinda started trademark ashley name first shows lot love,",['reputation & heritage'],['love']
"olsen sisters top especially girl lizzie taylor,",['reputation & heritage'],['love']
"love whole style,",['product quality'],['love']
"always stunning,",['reputation & heritage'],['love']
"one word perfection,",['product quality'],['love']
"wait p rocky asap rocky,",['reputation & heritage'],['excited']
"even hiding anymore,",['reputation & heritage'],['disappointed']
"rihanna teaching ways,",['reputation & heritage'],['love']
"one eye symbolism shame,",['ethical practices'],['disappointed']
"lot talk jaden young man giving congrats restaurants feed homeless free hes uniquely,",['social impact'],['love']
"rich want stay poor,",['reputation & heritage'],['disappointed']
"bro brought house hand,",['product quality'],['love']
"seems like nice kid pain beautiful eyes god bless,",['product quality'],['love']
"daughter doll house blue,","['product quality', 'customer service']",['love']
"lv gucci rest making money yall dont see whats going,","['reputation & heritage', 'ethical practices']",['disappointed']
"real chat,",['customer service'],['neutral']
"genuinely sounds wholesum,",['ethical practices'],['love']
"bille needs make tik tok account,",['customer service'],['excited']
"instantly know bullies shoes,",['reputation & heritage'],['hate']
"yeah sound like billie,",['reputation & heritage'],['love']
"thought gon na rip billie wannabe,",['product quality'],['disappointed']
"sounds like completely different person,",['reputation & heritage'],['disappointed']
"know show phenomenal see anna wintour smiling clapping,",['reputation & heritage'],['love']
"last good chanel collection,","['product quality', 'reputation & heritage']",['good']
"chanel karl much better new creative designer one really even knows,",['reputation & heritage'],['worse']
"death death channel,",['reputation & heritage'],['horrible']
"chanel without karl,",['reputation & heritage'],['disappointed']
"already know chanel rocket probably cause 1000000,",['product quality'],['neutral']
"thats real fashion designer,",['reputation & heritage'],['love']
"thought thats lana del rey,",['reputation & heritage'],['love']
"scotts exs literally getting married funny,",['reputation & heritage'],['amused']
"scott prepares women meet soulmates,",['reputation & heritage'],['love']
"everyone dated scott meets man dreams gets married like movie good luck chuck go date scott single ladies,",['reputation & heritage'],['love']
"lionel let sigh relief public displeasure scott disick relationship,",['reputation & heritage'],['disappointed']
"feel like scott good luck chuck affect every girl dates ends marrying another guy,",['reputation & heritage'],['bad']
"everybody scott dated found prince charming,",['reputation & heritage'],['love']
"bro pls wrong,",['customer service'],['disappointed']
"wouldve taken 30k cash,",['customer service'],['disappointed']
"everyone confused,",['customer service'],['disappointed']
"fr thought michelle obama,",['reputation & heritage'],['neutral']
"god see youre others,",['reputation & heritage'],['love']
"lord ive seen youve done others thats bag dreams happy,",['reputation & heritage'],['love']
"chris rock long hair,",['product quality'],['love']
"brother lol,","['product quality', 'reputation & heritage', 'customer service', 'social impact', 'ethical practices', 'sustainability']",['love']
"tell rich without telling rich,",['reputation & heritage'],['hate']
"saw exact dress thrift one time 10 regret buying every single day yes,",['product quality'],['regret']
"everything,","['product quality', 'reputation & heritage', 'customer service', 'social impact', 'ethical practices', 'sustainability']",['neutral']
"absolutely worth,",['product quality'],['love']
"4 wedding dresses nowhere near size also single 5 euros,","['product quality', 'customer service']",['disappointed']
"hear 500 dont touch itits thursday,",['customer service'],['horrible']
"couldnt expect anything less gabi,",['reputation & heritage'],['love']
"givenchy shark boots cant stop thinking,",['product quality'],['love']
"especially birkin,",['reputation & heritage'],['love']
"leclerc shirt im love,",['product quality'],['love']
"jim carrey absolutely quaking grinch poots rn,",['reputation & heritage'],['love']
"got tshirt etsy searched vintage ferrari shirt lol,",['product quality'],['neutral']
"leclerc shirt im love,",['product quality'],['love']
"charles leclerc shirt,",['product quality'],['neutral']
"love cl16 shirt actual outfit,",['product quality'],['love']
"exact shirt,",['product quality'],['neutral']
"find world peace hoodie,",['product quality'],['love']
"havent seen soul world peace hoodie,",['product quality'],['excited']
"yall sleeping chrome hearts rosary,",['product quality'],['love']
"tenth series,",['reputation & heritage'],['neutral']
"seriously whats rosary hoodie imma need,",['product quality'],['need']
"tops,",['product quality'],['neutral']
"thought rihanna ceo fendi,",['reputation & heritage'],['love']
"ponytail holder wrist,",['product quality'],['neutral']
"youre telling ceo fendi open mouth chews gum photographed public event,",['reputation & heritage'],['disappointed']
"people bill gates mark zuckerberg rhianna fendi ceo actors actresses business moguls prewedding,",['reputation & heritage'],['neutral']
"fendi owned serge brunschwig tho,",['reputation & heritage'],['love']
"whyyyyy chewing gum class elegance ever since loriharvey said doesnt fendi checked,",['reputation & heritage'],['disappointed']
"single im ready marriage,",['customer service'],['excited']
"thought rihanna ceo fendi,",['reputation & heritage'],['disappointed]
"okay good fits gram igwisdm,",['product quality'],['great']
"knew gon na b fire b4 even watched,",['reputation & heritage'],['excited']
"fendi one tho,",['reputation & heritage'],['love']
"cant stress enough look like dr burk greys anatomy,",['product quality'],['love']
"cool watch someone clearly knows theyre talking even interest,",['product quality'],['love']
"asthma,","['product quality', 'reputation & heritage', 'customer service', 'social impact', 'ethical practices', 'sustainability']",['disappointed']
"wouldnt say fresh new definitely damn good improvement,",['product quality'],['good']
"whats difference model 2007 get,",['product quality'],['neutral']
"2003 18 19 years ago,",['reputation & heritage'],['neutral']
"2003 18 years ago,",['reputation & heritage'],['neutral']
"u shake ur shoe sounds like crumbly shaking sounds thing,",['product quality'],['bad']
"stitched soles hardest sole swaps right patience pretty crazy lol,",['product quality'],['excited']
"ostrich leather crocodile learher,",['product quality'],['neutral']
"girl colors choose grey white,",['product quality'],['neutral']
"year ill totally forget lol,",['reputation & heritage'],['disappointed']
"yearr,",['reputation & heritage'],['excited']
"dream hermes bag birkin 25 togo etoupe palladium hardware,","['product quality', 'reputation & heritage']",['love']
"ostrich best always n bags brands,","['product quality', 'reputation & heritage']",['love']
"nah would overwhelmed different options,",['customer service'],['disappointed']
"see year,",['reputation & heritage'],['neutral']
"future wifes bags,",['product quality'],['love']
"putting coco cabana ocean breeze catagory bold,",['product quality'],['neutral']
"prada candy smells nothing like,",['product quality'],['disappointed']
"giorgio armani acqua di gioia smells nothing like orange blossom though another type good smell lol,",['product quality'],['love']
"sorry scandal good,",['reputation & heritage'],['good']
"one day istgg,","['product quality', 'reputation & heritage', 'customer service', 'social impact', 'ethical practices', 'sustainability']","['love', 'great', 'amazing', 'impressed', 'thrilled', 'excited', 'horrible', 'bad', 'disappointed', 'terrible', 'worse', 'hate']"
"first one top tier,",['product quality'],['great']
"slay mommy outfit,",['product quality'],['love']
"1and2,","['product quality', 'reputation & heritage']",['neutral']
"buy shoes like first one,",['product quality'],['love']
"summer beginning london cant wait need cute casual outfits look good im oversized shirt jeans gal,",['product quality'],['excited']
"early,",['customer service'],['neutral']
"woah im early,","['product quality', 'reputation & heritage', 'customer service', 'social impact', 'ethical practices', 'sustainability']",['excited']
"first,","['product quality', 'reputation & heritage', 'customer service', 'social impact', 'ethical practices', 'sustainability']","['love', 'great', 'amazing', 'impressed', 'thrilled', 'excited', 'horrible', 'bad', 'disappointed', 'terrible', 'worse', 'hate']"
"please post im huge fan,",['reputation & heritage'],['love']
"favorite charmed theme love shoes vest,",['product quality'],['love']
"last one looks dad finds got f math exam comes crash,",['product quality'],['disappointed']
"wow outfit elegant different tax brackets,",['product quality'],['love']
"wheres cardigan,",['customer service'],['disappointed']
"wheres bag,",['customer service'],['disappointed']
"wheres purse,",['customer service'],['disappointed']
"cuffed pants sooo cute,",['product quality'],['love']
"pov saw video cankles wanted see,",['product quality'],['neutral']
"wheres cankles,",['customer service'],['disappointed']
"everyone fl still wears lilly,",['reputation & heritage'],['love']
"yellow dress looked good,",['product quality'],['love']
"really liked yellow super pretty,",['product quality'],['love']
"love shade yellow,",['product quality'],['love']
"yellow look amazing could get altered,",['product quality'],['amazing']
"gator slides tho,",['product quality'],['love']
"emelyofficial,",['reputation & heritage'],['love']
"user92293046292 sophie,",['customer service'],['neutral']
"soooo expensive thooo,",['product quality'],['disappointed']
"black one,",['product quality'],['love']
"want need give charlie thomas,","['product quality', 'reputation & heritage', 'customer service', 'social impact', 'ethical practices', 'sustainability']","['love', 'great', 'amazing', 'impressed', 'thrilled', 'excited', 'horrible', 'bad', 'disappointed', 'terrible', 'worse', 'hate']"
"crying,",['customer service'],['disappointed']
"moon boots fr,",['product quality'],['neutral']
"absolutely love want,",['product quality'],['love']
"people saying dresses dont look kendalls dress inspired aubreys wasnt supposed look,",['product quality'],['disappointed']
"said inspiration dress didnt say yall would claim plagiarism yall say yall sick,",['reputation & heritage'],['disappointed']
"think kendal could done hair like similar aubrey instead effortless bun,",['product quality'],['excited']
"60 years later maybe someone inspired kendall knows,",['reputation & heritage'],['excited']
"someone tell fit theme,",['product quality'],['neutral']
"even close tho dont get kendall looked really good,",['product quality'],['good']
"inspired yall need learn word back istg,",['reputation & heritage'],['excited']
"loved dress wish something different hair,",['product quality'],['love']
"wheres thewizardliz,",['customer service'],['disappointed']
"anything teach college degree,",['reputation & heritage'],['neutral']
"bizwithbailey audreyamendolara alice_liuuu thank later,",['customer service'],['love']
"im college knowledge lol want paper raise,",['reputation & heritage'],['love']
"thewizardliz trust,",['reputation & heritage'],['trust']
"loves silver learn love wear silver,",['product quality'],['love']
"mon gold silver,",['reputation & heritage'],['neutral']
"isaleandrahms want,","['product quality', 'reputation & heritage', 'customer service', 'social impact', 'ethical practices', 'sustainability']",['love']
"dog sent talking bout birthday,",['customer service'],['love']
"bro istg chrome hearts new supreme,",['reputation & heritage'],['love']
"chrome hearts dog,",['reputation & heritage'],['love']
"dawg drinking chrome hearts,",['reputation & heritage'],['love']
"lowkey could make,",['product quality'],['disappointed']
"chrome hearts fans see carved cinderblock,",['reputation & heritage'],['hate']
"low price 3500,",['product quality'],['hate']
"promise u chrome hearts js b makin anything,",['product quality'],['neutral']
"opium rick owens playboi carti ken carson destroy lonely black,",['reputation & heritage'],['love']
"tell buy reps,",['customer service'],['excited']
"get invitation rick owens show,",['reputation & heritage'],['excited']
"bro rick owens,",['reputation & heritage'],['neutral']
"bro think hes rick,",['reputation & heritage'],['hate']
"sturdy well made leather bag always best bag doesnt need fancy tag crazy price last forever,","['product quality', 'sustainability']",['love']
"mary kate olsens makes one look pristine though,",['product quality'],['love']
"never understood birkin seeing creator use full extent life makes seriously reconsider hype birkin,",['reputation & heritage'],['disappointed']
"richest thing,",['reputation & heritage'],['hate']
"need wealthy person hand wornin birkin bc ill never buy one adore look lived one,",['product quality'],['love']
"best thing rich buy well made expensive things wear forever without constantly buying new stuff,","['product quality', 'sustainability']",['love']
"beat birkin bag chicest thing everrrrr,","['product quality', 'reputation & heritage']",['love']
"theres nothing warrants price tho,",['product quality'],['disappointed']
"namesinitials designers half products,","['product quality', 'reputation & heritage']",['neutral']
"got except row,",['product quality'],['disappointed']
"easy,","['product quality', 'reputation & heritage', 'customer service', 'social impact', 'ethical practices', 'sustainability']",['love']
"thought comme de garcon shoes converse,",['product quality'],['neutral']
"easy,","['product quality', 'reputation & heritage', 'customer service', 'social impact', 'ethical practices', 'sustainability']",['love']
"first one dress perfume bottle looks exactly like dress twiggy wore 60s,",['reputation & heritage'],['hate']
"saint laurent paris valentino dior balenciaga paris hugo boss gucci fendi givenchy jean paul gaultier comme des garçons row dolce gabbana burberry london calvin klein alexanderwang,",['reputation & heritage'],['neutral']
"except row givenchy,",['reputation & heritage'],['disappointed']
"said iron first shes putting sweater doesnt matter,",['product quality'],['disappointed']
"iron shirt pleasee,",['customer service'],['excited']
"iron yes shirt skirt,",['product quality'],['excited']
"whys everyone crying shirt u cant even see sweater,",['product quality'],['disappointed']
"u ever heard iron,",['reputation & heritage'],['neutral']
"yall one owns iron care steamer thats,",['product quality'],['neutral']
"buying first top tommorrow literally cant stop thinking,",['product quality'],['excited']
"first top,",['product quality'],['love']
"repeat best taste im inspired time post,",['reputation & heritage'],['inspired']
"keep first two return third husband,",['customer service'],['disappointed']
"first one,","['product quality', 'reputation & heritage', 'customer service', 'social impact', 'ethical practices', 'sustainability']",['love']
"first one insane,",['product quality'],['excited']
"budget astronomical,",['product quality'],['disappointed']
"thats fun,",['reputation & heritage'],['excited']
"maybe iphone 15 pro invitation,",['product quality'],['excited']
"fashioninvitations,",['reputation & heritage'],['neutral']
"asmr fashion invite,",['reputation & heritage'],['excited']
"raw excedrin wild,",['product quality'],['excited']
"anxiety went straw pills make directly purse cant deal,",['customer service'],['disappointed']
"careful keeping stuff bottom purse taking went anaphylactic shock something got meds dr thinks,",['customer service'],['horrible']
"link chanel keychain wallet ive trying find cant,",['customer service'],['disappointed']
"put stuff small ziplock bag dont ruin inside,",['product quality'],['bad']
"burberry goddess time favorite,",['reputation & heritage'],['love']
"favorite purchase everrrrr,",['product quality'],['love']
"literally doesnt smell nice idk everyone,",['product quality'],['bad']
"secret combine beeswax coconut honey lotion wear everyday get many ppl complimenting saying smell good also makes perfume last day apply,",['product quality'],['love']
"im thinking getting thattt goodd,",['product quality'],['excited']
"im lit obsessed w smell amazing,",['product quality'],['amazing']
"oh stop bought bc popular see everywhere,",['reputation & heritage'],['hate']
"heyy go see favorites pls girls,",['reputation & heritage'],['love']
"burberry fragrance lixury fragrance actually smells good like overly strong one,",['product quality'],['love']
"perfumes con olor monster high little pony,",['product quality'],['neutral']
"cam newton dangerous fits,",['product quality'],['love']
"hes swaggy thats glazing like crazy,",['reputation & heritage'],['excited']
"bros reverse cowgirl,","['product quality', 'reputation & heritage', 'customer service', 'social impact', 'ethical practices', 'sustainability']",['excited']
"bro said swaggy aint thats crazy,",['reputation & heritage'],['disappointed']
"aint serious gng,",['customer service'],['disappointed']
"scrolling another man ig glazing crazy work,",['product quality'],['amazed']
"recording store,",['reputation & heritage'],['neutral']
"need chrome hearts x gentle monster colab bad,",['product quality'],['bad']
"bracelet omg deadly doll shirt stoppp,",['product quality'],['excited']
"chrome roley,",['reputation & heritage'],['neutral']
"much chrome heart cloth price starts,",['product quality'],['disappointed']
"listened fein typing essay started typing like crazy looked back words spelled wrong,",['customer service'],['disappointed']
"fen end eyes hits dif tho old kanye song,",['reputation & heritage'],['excited']
"adhd makes music much better,",['product quality'],['love']
"even canvas getting lit,",['product quality'],['excited']
"travis tweaking bro,",['customer service'],['disappointed']
"especially song,","['product quality', 'reputation & heritage', 'customer service', 'social impact', 'ethical practices', 'sustainability']","['love', 'great', 'amazing', 'impressed', 'thrilled', 'excited', 'horrible', 'bad', 'disappointed', 'terrible', 'worse', 'hate']"
"u lock test bro,","['product quality', 'customer service']",['love']
"ricks wife character,",['reputation & heritage'],['love']
"tommy cash dressin,",['product quality'],['love']
"offset got best fit ngl,",['product quality'],['love']
"none looked comfortable,",['product quality'],['bad']
"big yellow croc boots tea,",['product quality'],['neutral']
"tommy matieres fecaless look amazing,",['product quality'],['amazing']
"get art behind fashion cant help see people pickme people,",['reputation & heritage'],['disappointed']
"nice slipknot show,",['reputation & heritage'],['love']
"clever hope hes got somewhere keep expensive glasses though,",['product quality'],['love']
"im sorry ive got burberry sunglasses best believe staying burberry case fair play jake would,",['product quality'],['love']
"absolutely,","['product quality', 'reputation & heritage', 'customer service', 'social impact', 'ethical practices', 'sustainability']",['love']
"anything designer name deep,",['reputation & heritage'],['neutral']
"could put sunglasses really great idea,",['product quality'],['great']
"thought attaching tape begin,",['product quality'],['disappointed']
"would still actually boss idea keep sunglasses youre wearing,",['product quality'],['love']
"sound much like victoria beckham,",['reputation & heritage'],['neutral']
"whats oct 13,","['product quality', 'reputation & heritage', 'customer service', 'social impact', 'ethical practices', 'sustainability']","['love', 'great', 'amazing', 'impressed', 'thrilled', 'excited', 'horrible', 'bad', 'disappointed', 'terrible', 'worse', 'hate']"
"whats oct 13th,","['product quality', 'reputation & heritage', 'customer service', 'social impact', 'ethical practices', 'sustainability']","['love', 'great', 'amazing', 'impressed', 'thrilled', 'excited', 'horrible', 'bad', 'disappointed', 'terrible', 'worse', 'hate']"
"heard album,",['product quality'],['neutral']
"one account lot viral posts ill probably make video someday,",['reputation & heritage'],['excited']
"red hair yuna something else,",['reputation & heritage'],['love']
